test_id,test_fam,true_pos,true_lat,true_lon,text,result_id,status,message,family,pattern,matchtext,lat,lon,mgrs,precision,offset
DM_02#4,DM,true,79.37222,-100.37222," 79.22.333N, 100.22.333W",DM_02#4,PASS,,DM,DM-01a-dot,"79.22.333N, 100.22.333W",79.37222,-100.37222,14XMP7175011849,15,1
DM_02#5,DM,true,79.37592,-100.37592, N7922333W10022333,DM_02#5,PASS,,DM,DM-03b,N7922333W10022333,79.37222,-100.37222,14XMP7175011849,15,1
DM_02#6,DM,true,79.37222,-100.37222, N79.22.333 W100.22.333,DM_02#6,PASS,,DM,DM-01b-dot,N79.22.333 W100.22.333,79.37222,-100.37222,14XMP7175011849,15,1
DM_02#7,DM,true,79.37222,-85.37222, N79.22.333 W085.22.333    test the longitude range 80-99deg,DM_02#7,PASS,,DM,DM-01b-dot,N79.22.333 W085.22.333,79.37222,-85.37222,16XEP3351011984,15,1
DM_02#8,DM,true,79.37222,-100.37222," 79.22.333N, 100.22.333W",DM_02#8,PASS,,DM,DM-01a-dot,"79.22.333N, 100.22.333W",79.37222,-100.37222,14XMP7175011849,15,1
DM_02#9,DM,true,79.37222,-100.37222," 79.22.333N, 
 100.22.333W  # Line wrapping test",DM_02#9,PASS,,DM,DM-01a-dot,"79.22.333N, 
 100.22.333W",79.37222,-100.37222,14XMP7175011849,15,1
DM_02#10,DM,true,79.37222,-100.37222, N 79.22.333 W 100.22.333,DM_02#10,PASS,,DM,DM-01b-dot,N 79.22.333 W 100.22.333,79.37222,-100.37222,14XMP7175011849,15,1
DM_03#1,DM,true,1.742583,101.372217, N0144.555E10122.333,DM_03#1,PASS,,DM,DM-02b,N0144.555E10122.333,1.742583,101.372215,47NQB6392292774,15,1
DM_03#2,DM,true,1.742592,101.372222, N0144.5555E10122.3333,DM_03#2,PASS,,DM,DM-02b,N0144.5555E10122.3333,1.7425916,101.3722229,47NQB6392392775,15,1
DM_03#3,DM,true,1.733,101.367, N01°44' E101°22',DM_03#3,PASS,,DM,DM-01b,N01°44' E101°22',1.733,101.367,47NQB6330691750,900,1
DM_03#4,DM,true,1.733,101.367, 01°44' 101°22',DM_03#4,PASS,,DM,DM-03-deg,01°44' 101°22,1.733,101.367,47NQB6330691750,900,1
DM_03#5,DM,true,1.733,101.367, N 01° 44' E 101° 22',DM_03#5,PASS,,DM,DM-01b,N 01° 44' E 101° 22',1.733,101.367,47NQB6330691750,900,1
DM_04#1,DM,true,1.74875,101.3759,   N0144555 E10122333,DM_04#1,PASS,,DM,DM-03b,N0144555 E10122333,1.742583,101.372215,47NQB6392292774,15,3
DM_04#2,DM,true,1.74875,101.2759,   0144555N 10122333E,DM_04#2,PASS,,DM,DM-03a,0144555N 10122333E,1.742583,101.372215,47NQB6392292774,15,3
DM_04#3,DM,true,1.742583,101.372217,   01.44.555N 101.22.333E,DM_04#3,PASS,,DM,DM-01a-dot,01.44.555N 101.22.333E,1.742583,101.372215,47NQB6392292774,15,3
DM_04#4,DM,true,1.742583,99.372217,   01.44.555N  99.22.333E,DM_04#4,FAIL,Test Payload:    01.44.555N  99.22.333E; ,,,,,,,,
DM_04#5,DM,true,1.742583,99.372217,   01.44.555N 099.22.333E,DM_04#5,PASS,,DM,DM-01a-dot,01.44.555N 099.22.333E,1.742583,99.372215,47NNB4139992612,15,3
DM_04#6,DM,true,1.742583,101.372217,   01-44-555N 101-22-333E,DM_04#6,PASS,,DM,DM-01a,01-44-555N 101-22-333E,1.742583,101.372215,47NQB6392292774,15,3
DM_04#7,DM,true,1.742583,99.372217,   01-44-555N  99-22-333E   test the longitude range 80-99deg,DM_04#7,PASS,,DM,DM-01a,01-44-555N  99-22-333E,1.742583,99.372215,47NNB4139992612,15,3
DM_04#8,DM,true,1.742583,99.372217,   01-44-555N 099-22-333E,DM_04#8,PASS,,DM,DM-01a,01-44-555N 099-22-333E,1.742583,99.372215,47NNB4139992612,15,3
DM_04#9,DM,true,1.742583,99.372217,"   01-44-555N 
099-22-333E # Line wrapping test",DM_04#9,PASS,,DM,DM-01a,"01-44-555N 
099-22-333E",1.742583,99.372215,47NNB4139992612,15,3
DM_05#1,DM,true,1.733,101.367,  /0144N4/10122E5/,DM_05#1,PASS,,DM,DM-05,/0144N4/10122E5/,1.733,101.367,47NQB6330691750,900,2
DM_05#2,DM,true,1.733,101.367,  /0144N/10122E/,DM_05#2,PASS,,DM,DM-04b,0144N/10122E,1.733,101.367,47NQB6330691750,900,3
DM_06#1,DM,true,1.733,101.367,  0144N 10122E,DM_06#1,PASS,,DM,DM-04b,0144N 10122E,1.733,101.367,47NQB6330691750,900,2
DM_06#2,DM,true,1.733,101.367,  01°44N 101°22E,DM_06#2,PASS,,DM,DM-01a,01°44N 101°22E,1.733,101.367,47NQB6330691750,900,2
DM_06#3,DM,true,1.733,101.367,  01°44'N 101°22'E,DM_06#3,PASS,,DM,DM-01a,01°44'N 101°22'E,1.733,101.367,47NQB6330691750,900,2
DM_06#4,DM,true,1.733,101.367,  01°44´N 101°22´E,DM_06#4,PASS,,DM,DM-01a,01°44´N 101°22´E,1.733,101.367,47NQB6330691750,900,2
DM_06#5,DM,true,1.733,101.367,  01°44’N 101°22’E,DM_06#5,PASS,,DM,DM-01a,01°44’N 101°22’E,1.733,101.367,47NQB6330691750,900,2
DM_06#6,DM,true,1.733,101.367,  01°44’ N 101°22’ E,DM_06#6,PASS,,DM,DM-01a,01°44’ N 101°22’ E,1.733,101.367,47NQB6330691750,900,2
DM_06#7,DM,true,1.733,85.367,  01°44’ N 85°22’ E     test the longitude range 80-99deg,DM_06#7,PASS,,DM,DM-01a,01°44’ N 85°22’ E,1.733,85.367,45NUB1830891664,900,2
DM_06#8,DM,true,1.733,85.367,  01°44’ N 085°22’ E    test the longitude range 80-99deg,DM_06#8,PASS,,DM,DM-01a,01°44’ N 085°22’ E,1.733,85.367,45NUB1830891664,900,2
DM_06#9,DM,false,0,0,  01°44’ N 185°22’ E    FAIL -- bad coordinate,DM_06#9,PASS,Test Payload:   01°44’ N 185°22’ E    FAIL -- bad coordinate; ,,,,,,,,
DM_06#10,DM,true,10.833, 41.000, 10:50N  041:00E ,DM_06#10,PASS,,DM,DM-01a,10:50N  041:00E,10.83,41.00,37PGM1865198268,900,1
DM_06#11,DM,true,10.833, 41.000, 10:50N  041:00E ,DM_06#11,PASS,,DM,DM-01a,10:50N  041:00E,10.83,41.00,37PGM1865198268,900,1
DM_07#1,DM,true,1.7333,101.7333,   01DEG 44.0N 101DEG 44.0E,DM_07#1,PASS,Filtered out coordinate pattern=MGRS-01 value='01DEG 44',DM,DM-01a,01DEG 44.0N 101DEG 44.0E,1.7333,101.7333,47NRB0412891805,15,3
DM_07#2,DM,true,1.7333,101.7333,   01 DEG 44.0N 101 DEG 44.0E,DM_07#2,PASS,Filtered out coordinate pattern=MGRS-01 value='01 DEG 44',DM,DM-01a,01 DEG 44.0N 101 DEG 44.0E,1.7333,101.7333,47NRB0412891805,15,3
DM_07#3,DM,true,1.733,101.733,   01DEG 44N 101DEG 44E,DM_07#3,PASS,,DM,DM-01a,01DEG 44N 101DEG 44E,1.733,101.733,47NRB0412891805,900,3
DM_07#4,DM,true,1.733,101.733,   01DEG 44 N 101DEG 44 E,DM_07#4,PASS,Filtered out coordinate pattern=MGRS-01 value='01DEG 44',DM,DM-01a,01DEG 44 N 101DEG 44 E,1.733,101.733,47NRB0412891805,900,3
DM_07#5,DM,false,0,0,  333DEG 44 N 195DEG 44 E   FAIL -- bad coordinate,DM_07#5,PASS,Test Payload:   333DEG 44 N 195DEG 44 E   FAIL -- bad coordinate; ,,,,,,,,
DM_07#6,DM,false,0,0,   33DEG 44 N 195DEG 44 E   FAIL -- bad coordinate,DM_07#6,PASS,Test Payload:    33DEG 44 N 195DEG 44 E   FAIL -- bad coordinate; ,,,,,,,,
DM_08#1,DM,true,1.742583,-101.372217, +01 44.555 x -101 22.333,DM_08#1,PASS,,DM,DM-01b,+01 44.555 x -101 22.333,1.742583,-101.372215,14NKG3607792774,15,1
DM_08#2,DM,false,0,0, 01 44.555 x -101 22.333 FAIL: hemisphere not consistent use of +/- with bare number coordinates.,DM_08#2,PASS,Test Payload:  01 44.555 x -101 22.333 FAIL: hemisphere not consistent use of +/- with bare number coordinates.; ,,,,,,,,
DM_08#3,DM,false,0,0, 01 44.555 x 101 22.333  FAIL: no hemisphere +/-,DM_08#3,PASS,Test Payload:  01 44.555 x 101 22.333  FAIL: no hemisphere +/-; ,,,,,,,,
DM_08#4,DM,true,-1.742583,101.372217, -01 44.555 x +101 22.333,DM_08#4,PASS,,DM,DM-01b,-01 44.555 x +101 22.333,-1.742583,101.372215,47MQU6392207225,15,1
DM_08#5,DM,true,-1.742583,101.372217," -01 44.555 
 x +101 22.333  # Line wrapping test.",DM_08#5,PASS,,DM,DM-01b,"-01 44.555 
 x +101 22.333 ",-1.742583,101.372215,47MQU6392207225,15,1
DMS_01#1,DMS,true,1.74875,101.375833,"  01°44'55.5""N 101°22'33.0""E",DMS_01#1,PASS,,DMS,DMS-01a,"01°44'55.5""N 101°22'33.0""E",1.748750,101.375832,47NQB6432493457,15,2
DMS_01#2,DMS,true,1.74875,101.375833,  01:44:55.5N 101:22:33.0E,DMS_01#2,PASS,,DMS,DMS-01a,01:44:55.5N 101:22:33.0E,1.748750,101.375832,47NQB6432493457,15,2
DMS_01#3,DMS,true,1.74875,101.375833,"  01;44;55.5""N 101;22;33.0""E",DMS_01#3,FAIL,"Test Payload:   01;44;55.5""N 101;22;33.0""E; ",,,,,,,,
DMS_01#4,DMS,true,1.74875,101.375833,"  01-44-55.5""N 101-22-33.0""E",DMS_01#4,PASS,,DMS,DMS-01a,"01-44-55.5""N 101-22-33.0""E",1.748750,101.375832,47NQB6432493457,15,2
DMS_01#5,DMS,true,1.74875,101.375833,"  01.44.55.5""N 101.22.33.0""E   IS this an IP address?",DMS_01#5,FAIL,"Test Payload:   01.44.55.5""N 101.22.33.0""E   IS this an IP address?; ",,,,,,,,
DMS_01#6,DMS,true,1.74875,51.375833,"  01°44'55.5""N 51°22'33.0""E",DMS_01#6,PASS,,DMS,DMS-01a,"01°44'55.5""N 51°22'33.0""E",1.748750,51.375832,39NWB4180193294,15,2
DMS_01#7,DMS,true,1.74875,51.375833,  01:44:55.5N 51:22:33.0E,DMS_01#7,PASS,,DMS,DMS-01a,01:44:55.5N 51:22:33.0E,1.748750,51.375832,39NWB4180193294,15,2
DMS_01#8,DMS,true,1.74875,51.375833,"  01;44;55.5""N 51;22;33.0""E",DMS_01#8,FAIL,"Test Payload:   01;44;55.5""N 51;22;33.0""E; ",,,,,,,,
DMS_01#9,DMS,true,1.74875,51.375833,"  01-44-55.5""N 51-22-33.0""E",DMS_01#9,PASS,,DMS,DMS-01a,"01-44-55.5""N 51-22-33.0""E",1.748750,51.375832,39NWB4180193294,15,2
DMS_01#10,DMS,true,1.74875,51.375833,"  1;44;55.5""N 51;22;33.0""E",DMS_01#10,FAIL,"Test Payload:   1;44;55.5""N 51;22;33.0""E; ",,,,,,,,
DMS_01#11,DMS,true,1.74875,51.375833,"  1-44-55.5""N 51-22-33.0""E",DMS_01#11,PASS,,DMS,DMS-01a,"1-44-55.5""N 51-22-33.0""E",1.74875,51.37583,39NWB4180193294,15,2
DMS_01#12,DMS,true,1.74875,101.375833,"  N01;44;55.5"" E101;22;33.0""",DMS_01#12,FAIL,"Test Payload:   N01;44;55.5"" E101;22;33.0""; ",,,,,,,,
DMS_01#13,DMS,true,1.74875,101.375833,"  N01-44-55.5"" E101-22-33.0""",DMS_01#13,PASS,,DMS,DMS-01b,"N01-44-55.5"" E101-22-33.0""",1.748750,101.375832,47NQB6432493457,15,2
DMS_01#14,DMS,true,1.74875,85.375833,"  N01-44-55.5"" E085-22-33.0""",DMS_01#14,PASS,,DMS,DMS-01b,"N01-44-55.5"" E085-22-33.0""",1.748750,85.375832,45NUB1933093368,15,2
DMS_01#15,DMS,true,1.74875,85.375833,"  N01-44-55.5"" E85-22-33.0""",DMS_01#15,PASS,,DMS,DMS-01b,"N01-44-55.5"" E85-22-33.0""",1.748750,85.375832,45NUB1933093368,15,2
DMS_01#16,DMS,true,-89.150278,-99.153611,  S89-09-01 W99-09-13,DMS_01#16,PASS,,DM,DM-01b,S89-09-01 W99-09-13,-89.1502,-99.1522,AZM0684884992,15,2
DMS_01#17,DMS,true,-66.925861,-149.386639,  665533.1S 1492311.9W,DMS_01#17,PASS,,DMS,DMS-04a,665533.1S 1492311.9W,-66.92586,-149.38664,6DUL9564074885,15,2
DMS_02#1,DMS,true,33.369722,111.375956, N33 22 11.00 E111 22 33.44,DMS_02#1,PASS,,DMS,DMS-01b,N33 22 11.00 E111 22 33.44,33.369720,111.375961,49SES3497392338,15,1
DMS_02#2,DMS,true,33.369722,111.375956, N33 22' 11.00 E111 22' 33.44,DMS_02#2,PASS,,DMS,DMS-01b,N33 22' 11.00 E111 22' 33.44,33.369720,111.375961,49SES3497392338,15,1
DMS_02#3,DMS,false,0,0,03-04-05 12:11:10,DMS_02#3,PASS,Test Payload: 03-04-05 12:11:10; ,,,,,,,,
DMS_02#4,DMS,false,0,0,03-04-05 12:11:10,DMS_02#4,PASS,Test Payload: 03-04-05 12:11:10; ,,,,,,,,
DMS_02#5,DMS,false,0,0,99-04-05 12:11:10,DMS_02#5,PASS,Test Payload: 99-04-05 12:11:10; ,,,,,,,,
DMS_02#6,DMS,false,0,0,03-04-58 12:11:10,DMS_02#6,PASS,Test Payload: 03-04-58 12:11:10; ,,,,,,,,
DMS_02#7,DMS,false,0,0,03-04-99 12:11:10,DMS_02#7,PASS,Test Payload: 03-04-99 12:11:10; ,,,,,,,,
DMS_02#8,DMS,false,0,0,14-04-33 12:11:10,DMS_02#8,PASS,Test Payload: 14-04-33 12:11:10; ,,,,,,,,
DMS_02#9,DMS,false,0,0,2003-04-05 12:11:10,DMS_02#9,PASS,Test Payload: 2003-04-05 12:11:10; ,,,,,,,,
DMS_02#10,DMS,false,0,0,2014-04-33 12:11:10,DMS_02#10,PASS,Test Payload: 2014-04-33 12:11:10; ,,,,,,,,
DMS_02#11,DMS,true,33.369722,111.375956, N 33 22 11.00 E 111 22 33.44,DMS_02#11,PASS,,DMS,DMS-01b,N 33 22 11.00 E 111 22 33.44,33.369720,111.375961,49SES3497392338,15,1
DMS_03#1,DMS,true,40.446111,-79.948611," 40:26:46N,79:56:55W",DMS_03#1,PASS,,DMS,DMS-01a,"40:26:46N,79:56:55W",40.4461,-79.9486,17TNE8916077804,15,1
DMS_03#2,DMS,true,40.446145,-79.948611," 40:26:46.123N,79:56:55.000W",DMS_03#2,PASS,,DMS,DMS-01a,"40:26:46.123N,79:56:55.000W",40.4461479,-79.9486084,17TNE8916077807,15,1
DMS_03#3,DMS,true,43.075076,-73.582894, 43-04-30.2720N 073-34-58.4170W,DMS_03#3,PASS,,DMS,DMS-01a,43-04-30.2720N 073-34-58.4170W,43.07507324,-73.58289337,18TXN1536670126,15,1
DMS_03#4,DMS,true,27.629167,-82.702778," 27° 37' 45"" N, 82° 42' 10"" W",DMS_03#4,PASS,,DMS,DMS-01a,"27° 37' 45"" N, 82° 42' 10"" W",27.6292,-82.7028,17RLL3199557282,15,1
DMS_03#5,DMS,true,27.629167,-82.702778," 27° 37' 45N, 82° 42' 10W",DMS_03#5,PASS,,DMS,DMS-01a,"27° 37' 45N, 82° 42' 10W",27.6292,-82.7028,17RLL3199557282,15,1
DMS_03#6,DMS,true,31.895986,54.277497, 31 53 45.55N 54 16 38.99E,DMS_03#6,PASS,,DMS,DMS-01a,31 53 45.55N 54 16 38.99E,31.895987,54.277496,40RBA4251132140,15,1
DMS_03#7,DMS,true,27.629167,-82.702778," 27° 37'45""N, 82° 42'10""W",DMS_03#7,PASS,,DMS,DMS-01a,"27° 37'45""N, 82° 42'10""W",27.6292,-82.7028,17RLL3199557282,15,1
DMS_03#8,DMS,true,27.629167,-82.702778," 27° 37' 45""N, 82° 42' 10""W",DMS_03#8,PASS,,DMS,DMS-01a,"27° 37' 45""N, 82° 42' 10""W",27.6292,-82.7028,17RLL3199557282,15,1
DMS_03#9,DMS,true,27.629167,-82.702778," N27° 37' 45"", W82° 42' 10""",DMS_03#9,PASS,,DMS,DMS-01b,"N27° 37' 45"", W82° 42' 10""",27.6292,-82.7028,17RLL3199557282,15,1
DMS_03#10,DMS,true,27.629167,-82.702778," +27° 37'45"", -82° 42'10""",DMS_03#10,PASS,,DMS,DMS-01b,"+27° 37'45"", -82° 42'10""",27.6292,-82.7028,17RLL3199557282,15,1
DMS_03#11,DMS,true,27.629167,-82.702778," N27° 37'45"", -82° 42'10""",DMS_03#11,PASS,,DMS,DMS-01b,"N27° 37'45"", -82° 42'10""",27.6292,-82.7028,17RLL3199557282,15,1
DMS_03#12,DMS,true,31.895986,54.277497, 31 53 45.55N 54 16 38.99E,DMS_03#12,PASS,,DMS,DMS-01a,31 53 45.55N 54 16 38.99E,31.895987,54.277496,40RBA4251132140,15,1
DMS_03#13,DMS,true,27.629167,-82.702778," N27° 37'45"", -082° 42'10""",DMS_03#13,PASS,,DMS,DMS-01b,"N27° 37'45"", -082° 42'10""",27.6292,-82.7028,17RLL3199557282,15,1
DMS_03#14,DMS,true,27.629167,-82.702778," +27° 37'45"", -082° 42'10""",DMS_03#14,PASS,,DMS,DMS-01b,"+27° 37'45"", -082° 42'10""",27.6292,-82.7028,17RLL3199557282,15,1
DMS_03#15,DMS,true,27.629167,-82.702778," 27° 37' 45”N, 82° 42' 10”W",DMS_03#15,PASS,,DMS,DMS-01a,"27° 37' 45”N, 82° 42' 10”W",27.6292,-82.7028,17RLL3199557282,15,1
DMS_03#16,DMS,true,27.629167,-82.702778," 27° 37' 45''N, 82° 42' 10''W",DMS_03#16,PASS,,DMS,DMS-01a,"27° 37' 45''N, 82° 42' 10''W",27.6292,-82.7028,17RLL3199557282,15,1
DMS_03#17,DMS,true,27.629167,-82.702778," 27° 37' 45’’N, 82° 42' 10’’W",DMS_03#17,PASS,,DMS,DMS-01a,"27° 37' 45’’N, 82° 42' 10’’W",27.6292,-82.7028,17RLL3199557282,15,1
DMS_03#18,DMS,true,27.629167,-82.702778," 27° 37' 45′′N, 82° 42' 10′′W",DMS_03#18,PASS,,DMS,DMS-01a,"27° 37' 45′′N, 82° 42' 10′′W",27.6292,-82.7028,17RLL3199557282,15,1
DMS_03#19,DMS,true,34.373333,49.240833,  34°22′24″N   49°14′27″E,DMS_03#19,PASS,,DMS,DMS-01a,34°22′24″N   49°14′27″E,34.3733,49.2408,39SUU3824904953,15,2
DMS_03#20,DMS,true,34.373333,49.240833,  34°22 24″N   49°14 27″E,DMS_03#20,PASS,,DMS,DMS-01a,34°22 24″N   49°14 27″E,34.3733,49.2408,39SUU3824904953,15,2
DMS_03#21,DMS,true,34.373333,49.240833,  34°22′24N   49°14′27E,DMS_03#21,PASS,,DMS,DMS-01a,34°22′24N   49°14′27E,34.3733,49.2408,39SUU3824904953,15,2
DMS_03#22,DMS,true,34.373333,49.240833,  34° 22′ 24″N   49° 14′ 27″E,DMS_03#22,PASS,,DMS,DMS-01a,34° 22′ 24″N   49° 14′ 27″E,34.3733,49.2408,39SUU3824904953,15,2
DMS_03#23,DMS,true,34.373333,49.240833,"  34° 22' 24""N   49° 14' 27""E",DMS_03#23,PASS,,DMS,DMS-01a,"34° 22' 24""N   49° 14' 27""E",34.3733,49.2408,39SUU3824904953,15,2
DMS_03#24,DMS,true,34.373333,49.240833,"  34°22'24""N 49°14'27""E",DMS_03#24,PASS,,DMS,DMS-01a,"34°22'24""N 49°14'27""E",34.3733,49.2408,39SUU3824904953,15,2
DMS_03#25,DMS,true,34.373333,49.240833,"  34°22'24""N   49°14'27""E",DMS_03#25,PASS,,DMS,DMS-01a,"34°22'24""N   49°14'27""E",34.3733,49.2408,39SUU3824904953,15,2
DMS_03#26,DMS,true,34.373333,49.240833,"  34 22'24""N   49 14'27""E",DMS_03#26,PASS,,DMS,DMS-01a,"34 22'24""N   49 14'27""E",34.3733,49.2408,39SUU3824904953,15,2
DMS_03#27,DMS,true,34.373333,49.240833,"  34 22' 24""N 049 14' 27""E",DMS_03#27,PASS,,DMS,DMS-01a,"34 22' 24""N 049 14' 27""E",34.3733,49.2408,39SUU3824904953,15,2
DMS_03#28,DMS,true,34.373333,49.240833,"  34°22'24"" 49°14'27""",DMS_03#28,PASS,,DMS,DMS-01-deg,"34°22'24"" 49°14'27""",34.3733,49.2408,39SUU3824904953,15,2
DMS_04#1,DMS,true,0.561944,-121.728889,  N003343 W1214344,DMS_04#1,PASS,,DMS,DMS-03b,N003343 W1214344,0.56194,-121.72889,10NFF4144762127,15,2
DMS_05#1,DMS,true,11.375957,-121.932438," 11DEG 22' 33.444"" N 121DEG 55' 56.777"" W",DMS_05#1,PASS,Filtered out coordinate pattern=MGRS-01 value='11DEG 22',DMS,DMS-01a,"11DEG 22' 33.444"" N 121DEG 55' 56.777"" W",11.3759565,-121.9324341,10PFT1648057763,15,1
