AG.01	N-1323145	17.6	-61.8	Barbuda
AF.37	N6240773	33.4	69.9	Khost
AF.34	N-3381717	35.0	71.1	Kuner Province
AF.34	N-3381717	35.0	71.1	Kunarha
AF.34	N-3381717	35.0	71.1	Kunar
AF.34	N-3381717	35.0	71.1	Wilayat-e Kunar
AF.34	N-3381717	35.0	71.1	Kunar
AF.34	N-3381717	35.0	71.1	Kunaṟ
AF.34	N-3381717	35.0	71.1	Velayat-e Konarha
AF.34	N-3381717	35.0	71.1	Velayat-e Konar
AF.24	N-3381730	36.8	68.8	Velayat-e Kondoz
AF.24	N-3381730	36.8	68.8	Velayat-e Qonduz
AF.24	N-3381730	36.8	68.8	Kunduz Province
AF.24	N-3381730	36.8	68.8	Kundz
AF.24	N-3381730	36.8	68.8	Kondoz
AF.24	N-3381730	36.8	68.8	Kunduz
AF.24	N-3381730	36.8	68.8	Kunduz
AF.35	N-3382408	34.8	70.2	Leghman Province
AF.35	N-3382408	34.8	70.2	Velayat-e Laghman
AF.35	N-3382408	34.8	70.2	Laghmān
AF.35	N-3382408	34.8	70.2	Laghman
AF.17	N-3382874	34.0	69.2	Velayat-e Lowgar
AF.17	N-3382874	34.0	69.2	Luger Province
AF.17	N-3382874	34.0	69.2	Loogard
AF.17	N-3382874	34.0	69.2	Logar
AF.17	N-3382874	34.0	69.2	Lōgar
AF.17	N-3382874	34.0	69.2	Logar
AF.18	N-3385101	34.3	70.4	Velayat-e Nangarhar
AF.18	N-3385101	34.3	70.4	Nengerhar Province
AF.18	N-3385101	34.3	70.4	Nangrahar
AF.18	N-3385101	34.3	70.4	Nangrahan
AF.18	N-3385101	34.3	70.4	Nangahar
AF.18	N-3385101	34.3	70.4	ننگرهار
AF.18	N-3385101	34.3	70.4	Nangarhār
AF.18	N-3385101	34.3	70.4	Nangarhar
AF.19	N-3385650	31.0	62.5	Seistan
AF.19	N-3385650	31.0	62.5	Nimroze
AF.19	N-3385650	31.0	62.5	Nim Roz
AF.19	N-3385650	31.0	62.5	Chekhansur
AF.19	N-3385650	31.0	62.5	Chekhansor Province
AF.19	N-3385650	31.0	62.5	Chakhnsoor
AF.19	N-3385650	31.0	62.5	Chakhansoor
AF.19	N-3385650	31.0	62.5	Chakansur
AF.19	N-3385650	31.0	62.5	Sistan
AF.19	N-3385650	31.0	62.5	Velayat-e Chakhansur
AF.19	N-3385650	31.0	62.5	Nimruz
AF.19	N-3385650	31.0	62.5	Velayat-e Nimruz
AF.19	N-3385650	31.0	62.5	Nīmrōz
AF.19	N-3385650	31.0	62.5	Nimroz
AF.38	N6240774	35.3	70.8	Velayat-e Nurestan
AF.38	N6240774	35.3	70.8	Nūristān
AF.38	N6240774	35.3	70.8	Nuristan
AF.38	N6240774	35.3	70.8	Kafiristan
AF.38	N6240774	35.3	70.8	Nurestan
AF.38	N6240774	35.3	70.8	Nuristan
AF.29	N-3386222	32.4	68.8	Velayat-e Paktika
AF.29	N-3386222	32.4	68.8	Paktīkā
AF.29	N-3386222	32.4	68.8	Paktika
AF.36	N-3386221	33.7	69.3	Paktia Province
AF.36	N-3386221	33.7	69.3	Pakteya
AF.36	N-3386221	33.7	69.3	Paktya Province
AF.36	N-3386221	33.7	69.3	Pakthia
AF.36	N-3386221	33.7	69.3	Velayat-e Paktia
AF.36	N-3386221	33.7	69.3	Paktiyā
AF.36	N-3386221	33.7	69.3	Paktiya
AF.40	N-3386432	35.0	68.9	Velayat-e Parvan
AF.40	N-3386432	35.0	68.9	Perwan Province
AF.40	N-3386432	35.0	68.9	Parwān
AF.40	N-3386432	35.0	68.9	Parwan
AF.32	N-3389750	36.0	67.7	Semegaan Province
AF.32	N-3389750	36.0	67.7	Samanghan
AF.32	N-3389750	36.0	67.7	Eybak
AF.32	N-3389750	36.0	67.7	Aybak
AF.32	N-3389750	36.0	67.7	Velayat-e Samangan
AF.32	N-3389750	36.0	67.7	Samangān
AF.32	N-3389750	36.0	67.7	Samangan
AF.33	N-3390412	35.8	66.2	Velayat-e Sar-e Pol
AF.33	N-3390412	35.8	66.2	Sar-e Pul
AF.33	N-3390412	35.8	66.2	Sar-e Pul
AF.26	N-3394329	36.7	69.8	Talugan
AF.26	N-3394329	36.7	69.8	Taluqan
AF.26	N-3394329	36.7	69.8	Velayat-e Takhar
AF.26	N-3394329	36.7	69.8	Talukan
AF.26	N-3394329	36.7	69.8	Tekhar Province
AF.26	N-3394329	36.7	69.8	Takhār
AF.26	N-3394329	36.7	69.8	Takhar
AF.39	N-3386013	32.8	66.0	Ruzgan
AF.39	N-3386013	32.8	66.0	Owruzgan
AF.39	N-3386013	32.8	66.0	Urozgan
AF.39	N-3386013	32.8	66.0	Aruzgan
AF.39	N-3386013	32.8	66.0	Orozgan
AF.39	N-3386013	32.8	66.0	Oruzgan Province
AF.39	N-3386013	32.8	66.0	Velayat-e Oruzgan
AF.39	N-3386013	32.8	66.0	Uruzgān
AF.39	N-3386013	32.8	66.0	Uruzgan
AF.27	N-3395709	34.2	68.0	Wardag
AF.27	N-3395709	34.2	68.0	Maydan Province
AF.27	N-3395709	34.2	68.0	Wardak-Maidan
AF.27	N-3395709	34.2	68.0	Wardak and Maiden
AF.27	N-3395709	34.2	68.0	Werdek Province
AF.27	N-3395709	34.2	68.0	Velayat-e Vardak
AF.27	N-3395709	34.2	68.0	Wardak
AF.27	N-3395709	34.2	68.0	Wardak
AF.28	N-3396439	32.2	67.2	Zabul Province
AF.28	N-3396439	32.2	67.2	Zabul
AF.28	N-3396439	32.2	67.2	Qalat-e Ghelza'i
AF.28	N-3396439	32.2	67.2	Kalat
AF.28	N-3396439	32.2	67.2	Qalat
AF.28	N-3396439	32.2	67.2	Velayat-e Zabol
AF.28	N-3396439	32.2	67.2	Wilayat-e Zabul
AF.28	N-3396439	32.2	67.2	Zabul
AF.23	N-3379065	31.0	65.8	Velayat-e Qandahar
AF.23	N-3379065	31.0	65.8	Kandhar
AF.23	N-3379065	31.0	65.8	Velayat-e Kandehar
AF.23	N-3379065	31.0	65.8	Gendahar Province
AF.23	N-3379065	31.0	65.8	Velayat-e Kandahar
AF.23	N-3379065	31.0	65.8	Kandahār
AF.23	N-3379065	31.0	65.8	Kandahar
AF.03	N-3369771	35.8	69.0	Pul-i-Khumri
AF.03	N-3369771	35.8	69.0	Baghland and Pul-i-Khumri
AF.03	N-3369771	35.8	69.0	Baghlan and Pulekhumri
AF.03	N-3369771	35.8	69.0	Beghlan Province
AF.03	N-3369771	35.8	69.0	Velayat-e Baghlan
AF.03	N-3369771	35.8	69.0	Baghlan
AF.03	N-3369771	35.8	69.0	Baghlān
AF.03	N-3369771	35.8	69.0	Baghlan
AF.30	N-3370023	36.8	67.0	Velayat-e Balkh
AF.30	N-3370023	36.8	67.0	Mazar-i-Sharif
AF.30	N-3370023	36.8	67.0	Belkh Province
AF.30	N-3370023	36.8	67.0	Balkh
AF.30	N-3370023	36.8	67.0	Balkh
AF.05	N-3370073	34.8	67.2	Bamian
AF.05	N-3370073	34.8	67.2	Bamiyan
AF.05	N-3370073	34.8	67.2	Bamyan Province
AF.05	N-3370073	34.8	67.2	Velayat-e Bamian
AF.05	N-3370073	34.8	67.2	بامیان
AF.05	N-3370073	34.8	67.2	Bāmyān
AF.05	N-3370073	34.8	67.2	Bamyan
AF.41	N10471835	33.8	66.2	Dāykundī
AF.41	N10471835	33.8	66.2	Daykundi
AF.06	N-3375093	32.5	62.5	Velayat-e Farah
AF.06	N-3375093	32.5	62.5	Ferrah Province
AF.06	N-3375093	32.5	62.5	Farah
AF.06	N-3375093	32.5	62.5	Farāh
AF.06	N-3375093	32.5	62.5	Farah
AF.10	N-3377342	31.0	64.0	Hilmand
AF.10	N-3377342	31.0	64.0	Helmend Province
AF.10	N-3377342	31.0	64.0	Grishk
AF.10	N-3377342	31.0	64.0	Girishk Province
AF.10	N-3377342	31.0	64.0	Velayat-e Helmand
AF.10	N-3377342	31.0	64.0	Helmand
AF.10	N-3377342	31.0	64.0	Helmand
AF.11	N-3377360	34.5	62.0	Herat Province
AF.11	N-3377360	34.5	62.0	Velayat-e Herat
AF.11	N-3377360	34.5	62.0	Herāt
AF.11	N-3377360	34.5	62.0	Herat
AF.31	N-3378342	36.8	65.8	Shiberghan
AF.31	N-3378342	36.8	65.8	Jawzjan
AF.31	N-3378342	36.8	65.8	Velayat-e Jowzajan
AF.31	N-3378342	36.8	65.8	Shibarghan
AF.31	N-3378342	36.8	65.8	Velayat-e Jowzjan
AF.31	N-3378342	36.8	65.8	Jozjan Province
AF.31	N-3378342	36.8	65.8	Jowzjān
AF.31	N-3378342	36.8	65.8	Jowzjan
AF.13	N-3378436	34.5	69.4	Velayat-e Kabul
AF.13	N-3378436	34.5	69.4	Kabol
AF.13	N-3378436	34.5	69.4	Kabul Province
AF.13	N-3378436	34.5	69.4	Velayat-e Kabol
AF.13	N-3378436	34.5	69.4	Kābul
AF.13	N-3378436	34.5	69.4	Kabul
AF.07	N-3375130	36.2	64.8	Fariab
AF.07	N-3375130	36.2	64.8	Velayat-e Faryab
AF.07	N-3375130	36.2	64.8	Maimana
AF.07	N-3375130	36.2	64.8	Faryab Province
AF.07	N-3375130	36.2	64.8	Fāryāb
AF.07	N-3375130	36.2	64.8	Faryab
AF.08	N-3376100	33.3	67.8	Velayat-e Ghazni
AF.08	N-3376100	33.3	67.8	Ghezni Province
AF.08	N-3376100	33.3	67.8	Ghaznī
AF.08	N-3376100	33.3	67.8	Ghazni
AF.09	N-3376267	34.0	65.0	Thorat
AF.09	N-3376267	34.0	65.0	Ghore
AF.09	N-3376267	34.0	65.0	Ghorat
AF.09	N-3376267	34.0	65.0	Ghor Province
AF.09	N-3376267	34.0	65.0	Velayat-e Ghowr
AF.09	N-3376267	34.0	65.0	Ghowr
AF.09	N-3376267	34.0	65.0	Ghōr
AF.09	N-3376267	34.0	65.0	Ghor
AF.01	N-3369558	36.8	72.0	Bedekhshan Province
AF.01	N-3369558	36.8	72.0	ولايت بدکشان
AF.01	N-3369558	36.8	72.0	بدخشان
AF.01	N-3369558	36.8	72.0	Badakhshan
AF.01	N-3369558	36.8	72.0	Badakhsan
AF.01	N-3369558	36.8	72.0	بدخشان
AF.01	N-3369558	36.8	72.0	Badakhshān
AF.01	N-3369558	36.8	72.0	Velayat-e Badakhshan
DZ.35	N-457623	36.2	2.2	Ain Defla
DZ.35	N-457623	36.2	2.2	عين الدفلى
DZ.35	N-457623	36.2	2.2	عين الدفلى
DZ.35	N-457623	36.2	2.2	عين الدفلة
DZ.35	N-457623	36.2	2.2	Aïn Defla
DZ.36	N-457951	35.3	-1.1	Ain Temouchent
DZ.36	N-457951	35.3	-1.1	عين تموشنت
DZ.36	N-457951	35.3	-1.1	عين تموشنت
DZ.36	N-457951	35.3	-1.1	Aïn Temouchent
DZ.36	N-457951	35.3	-1.1	عين تيموشنت
DZ.01	N-458376	36.8	3.2	Alger
DZ.01	N-458376	36.8	3.2	Departement d'Alger
DZ.01	N-458376	36.8	3.2	Alger
DZ.01	N-458376	36.8	3.2	Algiers
DZ.01	N-458376	36.8	3.2	الجزائر
DZ.01	N-458376	36.8	3.2	الجزائر
DZ.37	N-458860	36.8	7.6	Annaba
DZ.37	N-458860	36.8	7.6	Departement d'Annaba
DZ.37	N-458860	36.8	7.6	عنابة
DZ.37	N-458860	36.8	7.6	عنابة
DZ.37	N-458860	36.8	7.6	عنابا
DZ.37	N-458860	36.8	7.6	Departement de Bone
DZ.37	N-458860	36.8	7.6	Annaba
DZ.03	N-460292	35.5	5.9	Batna
DZ.03	N-460292	35.5	5.9	باتنة
DZ.03	N-460292	35.5	5.9	باتنة
DZ.03	N-460292	35.5	5.9	Departement de Aures
DZ.03	N-460292	35.5	5.9	Departement de Batna
DZ.03	N-460292	35.5	5.9	Wilaga de l'Aures
DZ.03	N-460292	35.5	5.9	Batna
DZ.18	N-460536	36.7	4.9	Bejaia
DZ.18	N-460536	36.7	4.9	بجاية
DZ.18	N-460536	36.7	4.9	بجاية
DZ.18	N-460536	36.7	4.9	Bejaïa
DZ.20	N-462096	36.6	3.0	Blida
DZ.20	N-462096	36.6	3.0	البليدة
DZ.20	N-462096	36.6	3.0	البليدة
DZ.20	N-462096	36.6	3.0	Blida
DZ.39	N-462162	36.1	4.8	Bordj Bou Arreridj
DZ.39	N-462162	36.1	4.8	برج بوعريريج
DZ.39	N-462162	36.1	4.8	برج بوعريريج
DZ.39	N-462162	36.1	4.8	برج بوعريرج
DZ.39	N-462162	36.1	4.8	Bordj Bou Arréridj
DZ.21	N-462911	36.2	3.9	Bouira
DZ.21	N-462911	36.2	3.9	Bouira
DZ.21	N-462911	36.2	3.9	البويرة
DZ.21	N-462911	36.2	3.9	البويرة
DZ.40	N-463226	36.8	3.7	Boumerdes
DZ.40	N-463226	36.8	3.7	Boumerdes
DZ.40	N-463226	36.8	3.7	بومرداس
DZ.40	N-463226	36.8	3.7	بومرداس
DZ.41	N-464573	36.2	1.2	Chlef
DZ.41	N-464573	36.2	1.2	Departement d'Orleansville
DZ.41	N-464573	36.2	1.2	الشلف
DZ.41	N-464573	36.2	1.2	الشلف
DZ.41	N-464573	36.2	1.2	Departement du Chelif
DZ.41	N-464573	36.2	1.2	Departement d'El Asnam
DZ.41	N-464573	36.2	1.2	Wilaya d'El Asnam
DZ.41	N-464573	36.2	1.2	Chlef
DZ.04	N-464723	36.3	6.7	Constantine
DZ.04	N-464723	36.3	6.7	Departement de Constantine
DZ.04	N-464723	36.3	6.7	Constantine
DZ.04	N-464723	36.3	6.7	قسنطينة
DZ.04	N-464723	36.3	6.7	قسنطينة
DZ.22	N-465859	34.3	3.7	Djelfa
DZ.22	N-465859	34.3	3.7	Djelfa
DZ.22	N-465859	34.3	3.7	الجلفة
DZ.22	N-465859	34.3	3.7	الجلفة
DZ.42	N-467340	32.5	1.2	El Bayadh
DZ.42	N-467340	32.5	1.2	البيض
DZ.42	N-467340	32.5	1.2	البيض
DZ.42	N-467340	32.5	1.2	Arrondissement d'El Bayadh
DZ.42	N-467340	32.5	1.2	El Bayadh
DZ.44	N-468562	36.8	8.2	El Tarf
DZ.44	N-468562	36.8	8.2	الطارف
DZ.44	N-468562	36.8	8.2	الطارف
DZ.44	N-468562	36.8	8.2	El Tarf
DZ.23	N-470230	36.4	7.4	Guelma
DZ.23	N-470230	36.4	7.4	قالمة
DZ.23	N-470230	36.4	7.4	قالمة
DZ.23	N-470230	36.4	7.4	ڤالمة
DZ.23	N-470230	36.4	7.4	Guelma
DZ.24	N-472989	36.8	6.0	Jijel
DZ.24	N-472989	36.8	6.0	جيجل
DZ.24	N-472989	36.8	6.0	جيجل
DZ.24	N-472989	36.8	6.0	Jijel
DZ.47	N-474014	35.0	7.0	Khenchela
DZ.47	N-474014	35.0	7.0	خنشلة
DZ.47	N-474014	35.0	7.0	خنشلة
DZ.47	N-474014	35.0	7.0	Khenchela
DZ.25	N-474719	33.6	2.7	Laghouat
DZ.25	N-474719	33.6	2.7	الأغواط
DZ.25	N-474719	33.6	2.7	الأغواط
DZ.25	N-474719	33.6	2.7	Laghouat
DZ.26	N-475815	35.4	0.2	Mascara
DZ.26	N-475815	35.4	0.2	معسكر
DZ.26	N-475815	35.4	0.2	معسكر
DZ.26	N-475815	35.4	0.2	Mascara
DZ.06	N-477081	36.1	3.0	Medea
DZ.06	N-477081	36.1	3.0	المدية
DZ.06	N-477081	36.1	3.0	المدية
DZ.06	N-477081	36.1	3.0	Departement de Medea
DZ.06	N-477081	36.1	3.0	Departement du Titteri
DZ.06	N-477081	36.1	3.0	Médéa
DZ.48	N-478475	36.4	6.2	Mila
DZ.48	N-478475	36.4	6.2	ميلة
DZ.48	N-478475	36.4	6.2	ميلة
DZ.48	N-478475	36.4	6.2	Mila
DZ.07	N-478794	36.0	0.3	Mostaganem
DZ.07	N-478794	36.0	0.3	مستغانم
DZ.07	N-478794	36.0	0.3	مستغانم
DZ.07	N-478794	36.0	0.3	Departement de Mostaganem
DZ.07	N-478794	36.0	0.3	Mostaganem
DZ.49	N-479415	33.5	-0.8	Naama
DZ.49	N-479415	33.5	-0.8	النعامة
DZ.49	N-479415	33.5	-0.8	النعامة
DZ.49	N-479415	33.5	-0.8	Naama
DZ.09	N-480013	35.7	-0.5	Oran
DZ.09	N-480013	35.7	-0.5	Departement d'Oran
DZ.09	N-480013	35.7	-0.5	Oran
DZ.09	N-480013	35.7	-0.5	وهران
DZ.09	N-480013	35.7	-0.5	ولاية وهران
DZ.29	N-481323	35.8	7.1	Oum el Bouaghi
DZ.29	N-481323	35.8	7.1	Oum el Bouaghi
DZ.29	N-481323	35.8	7.1	أم البواقي
DZ.29	N-481323	35.8	7.1	أم البواقي
DZ.51	N-482277	35.8	0.9	Relizane
DZ.51	N-482277	35.8	0.9	Relizane
DZ.51	N-482277	35.8	0.9	غليزان
DZ.51	N-482277	35.8	0.9	غليزان
DZ.10	N-483393	34.7	0.3	Saida
DZ.10	N-483393	34.7	0.3	Department de Saida
DZ.10	N-483393	34.7	0.3	Saïda
DZ.10	N-483393	34.7	0.3	سعيدة
DZ.10	N-483393	34.7	0.3	سعيدة
DZ.12	N-484258	36.2	5.5	Setif
DZ.12	N-484258	36.2	5.5	Departement de Setif
DZ.12	N-484258	36.2	5.5	Sétif
DZ.12	N-484258	36.2	5.5	سطيف
DZ.12	N-484258	36.2	5.5	سطيف
DZ.30	N-484956	34.8	-0.5	Sidi Bel Abbes
DZ.30	N-484956	34.8	-0.5	Sidi Bel Abbès
DZ.30	N-484956	34.8	-0.5	سيدي بلعباس
DZ.30	N-484956	34.8	-0.5	سيدي بلعباس
DZ.31	N-486426	36.8	6.8	Skikda
DZ.31	N-486426	36.8	6.8	Skikda
DZ.31	N-486426	36.8	6.8	سكيكدة
DZ.31	N-486426	36.8	6.8	سكيكدة
DZ.52	N-486747	36.2	7.9	Souk Ahras
DZ.52	N-486747	36.2	7.9	Souk Ahras
DZ.52	N-486747	36.2	7.9	سوق أهراس
DZ.52	N-486747	36.2	7.9	سوق أهراس
DZ.33	N-488513	35.0	7.8	Tebessa
DZ.33	N-488513	35.0	7.8	Tébessa
DZ.33	N-488513	35.0	7.8	تبسة
DZ.33	N-488513	35.0	7.8	تبسة
DZ.13	N-489080	34.9	1.6	Tiaret
DZ.13	N-489080	34.9	1.6	Departement de Tiaret
DZ.13	N-489080	34.9	1.6	Tiaret
DZ.13	N-489080	34.9	1.6	تيارت
DZ.13	N-489080	34.9	1.6	تيارت
DZ.54	N-489673	27.4	-5.8	Tindouf
DZ.54	N-489673	27.4	-5.8	Tindouf
DZ.54	N-489673	27.4	-5.8	تندوف
DZ.54	N-489673	27.4	-5.8	تندوف
DZ.54	N-489673	27.4	-5.8	تيندوف
DZ.56	N-490119	35.8	1.8	Tissemsilt
DZ.56	N-490119	35.8	1.8	Tissemsilt
DZ.56	N-490119	35.8	1.8	تيسمسيلت
DZ.56	N-490119	35.8	1.8	تيسمسيلت
DZ.56	N-490119	35.8	1.8	تسمسيلت
DZ.14	N-490236	36.8	4.2	Tizi Ouzou
DZ.14	N-490236	36.8	4.2	Department de Tizi Ouzou
DZ.14	N-490236	36.8	4.2	Departement de Grande Kabylie
DZ.14	N-490236	36.8	4.2	Tizi Ouzou
DZ.14	N-490236	36.8	4.2	تيزي وزو
DZ.14	N-490236	36.8	4.2	تيزي وزو
DZ.15	N-490294	34.7	-1.4	Tlemcen
DZ.15	N-490294	34.7	-1.4	Departement de Tlemcen
DZ.15	N-490294	34.7	-1.4	Tlemcen
DZ.15	N-490294	34.7	-1.4	تلمسان
DZ.15	N-490294	34.7	-1.4	تلمسان
DZ.19	N-462039	34.7	5.9	Biskra
DZ.19	N-462039	34.7	5.9	بسكرة
DZ.19	N-462039	34.7	5.9	بسكرة
DZ.19	N-462039	34.7	5.9	Biskra
DZ.43	N-468478	33.2	7.2	El Oued
DZ.43	N-468478	33.2	7.2	الوادي
DZ.43	N-468478	33.2	7.2	الوادي
DZ.43	N-468478	33.2	7.2	الواد
DZ.43	N-468478	33.2	7.2	El Oued
DZ.45	N-469841	32.4	3.6	Ghardaia
DZ.45	N-469841	32.4	3.6	غرداية
DZ.45	N-469841	32.4	3.6	غرداية
DZ.45	N-469841	32.4	3.6	Ghardaïa
DZ.46	N-472442	27.9	8.0	Illizi
DZ.46	N-472442	27.9	8.0	إليزي
DZ.46	N-472442	27.9	8.0	إليزي
DZ.46	N-472442	27.9	8.0	Illizi
DZ.27	N-479245	35.3	4.2	M'Sila
DZ.27	N-479245	35.3	4.2	المسيلة
DZ.27	N-479245	35.3	4.2	المسيلة
DZ.27	N-479245	35.3	4.2	مسيلة
DZ.27	N-479245	35.3	4.2	Wilaya de M'Sila
DZ.27	N-479245	35.3	4.2	M'sila
DZ.27	N-479245	35.3	4.2	M'sila
DZ.50	N-480142	30.7	5.3	ورقلة
DZ.50	N-480142	30.7	5.3	ورقلة
DZ.50	N-480142	30.7	5.3	ورڤلة
DZ.50	N-480142	30.7	5.3	Ouargla
DZ.50	N-480142	30.7	5.3	Ouargla
DZ.53	N-487748	23.6	5.2	Tamanghasset
DZ.53	N-487748	23.6	5.2	Tamanrasset
DZ.53	N-487748	23.6	5.2	Tamanrasset
DZ.53	N-487748	23.6	5.2	Wilaya de Tamanghasset
DZ.53	N-487748	23.6	5.2	تمنراست
DZ.53	N-487748	23.6	5.2	تمنراست
DZ.53	N-487748	23.6	5.2	تامنغست
DZ.55	N-489949	36.6	2.4	Tipaza
DZ.55	N-489949	36.6	2.4	Tipaza
DZ.55	N-489949	36.6	2.4	تيبازة
DZ.55	N-489949	36.6	2.4	تيبازة
DZ.60	N15082548	34.0	5.7	El Meghaier
DZ.60	N15082548	34.0	5.7	المغير
DZ.60	N15082548	34.0	5.7	المغير
DZ.60	N15082548	34.0	5.7	El Meghaier
DZ.57	N15082545	29.6	2.6	BeniAbbes
DZ.57	N15082545	29.6	2.6	بني عباس
DZ.57	N15082545	29.6	2.6	بني عباس
DZ.57	N15082545	29.6	2.6	Béni Abbès
DZ.58	N15082546	23.3	0.4	Bordj Badji Mokhtar
DZ.58	N15082546	23.3	0.4	Bordj Badji Mokhtar
DZ.58	N15082546	23.3	0.4	برج باجي مختر
DZ.58	N15082546	23.3	0.4	برج باجي مختر
DZ.59	N15082547	24.2	9.4	Djanet
DZ.59	N15082547	24.2	9.4	Djanet
DZ.59	N15082547	24.2	9.4	جانت
DZ.59	N15082547	24.2	9.4	جانت
DZ.61	N15082549	30.6	3.0	El Meniaa
DZ.61	N15082549	30.6	3.0	El Meniaa
DZ.61	N15082549	30.6	3.0	المنيعة
DZ.61	N15082549	30.6	3.0	المنيعة
DZ.55	N15082550	19.9	4.6	In Guezzam
DZ.55	N15082550	19.9	4.6	In Guezzam
DZ.55	N15082550	19.9	4.6	إن قزام
DZ.55	N15082550	19.9	4.6	إن قزام
DZ.63	N15082551	27.5	3.6	In Salah
DZ.63	N15082551	27.5	3.6	إن صالح
DZ.63	N15082551	27.5	3.6	إن صالح
DZ.63	N15082551	27.5	3.6	In Salah
