exclusion,category
el derecho,noun
el fin,noun
el gobierno,noun
el lado,noun
el libro,noun
el mal,noun
el mar,noun
el mas,noun
el metro,noun
el mundo,noun
el niño,noun
el nuevo,noun
el país,noun
el partido,noun
el piso,noun
el premio,noun
el presidente,noun
el primero,noun
el problema,noun
el pueblo,noun
el punto,noun
el sector,noun
el segundo,noun
el señor,noun
el telefono,noun
el tiempo,noun
el unico,noun
el uso,noun
el verde,noun
emergencia,noun
en medio,noun
encuentro,noun
ende,noun
enfermeria,noun
espiritu,noun
estudiantes,noun
euro,noun
europa,noun
felicidades,noun
feliz,noun
fiesta,noun
fin,noun
forma,noun
fotos,noun
ghetto,noun
globo,noun
gobernador,noun
gobierno,noun
gol,noun
guarda,noun
hermano,noun
historia,noun
horas,noun
juventud,noun
la calle,noun
la cama,noun
la campana,noun
la cara,noun
la carta,noun
la casa,noun
la constitución,noun
la defensa,noun
la familia,noun
la felicidad,noun
la fiesta,noun
la guerra,noun
la historia,noun
la hora,noun
la izquierda,noun
la justicia,noun
la juventud,noun
la letra,noun
la ley,noun
la libertad,noun
la luz,noun
la mama,noun
la mañana,noun
la marcha,noun
la memoria,noun
la mesa,noun
la mia,noun
la mujer,noun
la musica,noun
la nacion,noun
la noche,noun
la película,noun
la pobreza,noun
la premiere,noun
la presentacion,noun
la presidencia,noun
la primera,noun
la region,noun
la relacion,noun
la respuesta,noun
la revolucion,noun
la ruta,noun
la salida,noun
la salud,noun
la semana,noun
la soledad,noun
la unica,noun
la unidad,noun
la unión,noun
la venta,noun
la verdad,noun
la victoria,noun
la vida,noun
vida,noun
la vista,noun
las canciones,noun
las chicas,noun
las mujeres,noun
las nuevas,noun
las pelotas,noun
las primeras,noun
ley,noun
libertad,noun
libertadores,noun
los buenos,noun
los niños,noun
los partidos,noun
los problemas,noun
los sueños,noun
marca,noun
materia,noun
momento,noun
niña,noun
nivel,noun
noticia,noun
ordenes,noun
policia,noun
presentación,noun
recursos,noun
revolucion,noun
tarde,noun
tipo,noun
tortilla,noun
tren,noun
vuelo,noun
banco,noun.spa
banda,noun.spa
caballeros,noun.spa
caballito,noun.spa
caballo,noun.spa
cabana,noun.spa
casa,noun.spa
casas,noun.spa
cena,noun.spa
continente,noun.spa
cruz,noun.spa
esquinas,noun.spa
grado,noun.spa
gringo,noun.spa
grupo,noun.spa
hacienda,noun.spa
hoja,noun.spa
hoy,noun.spa
manana,noun.spa
mañana,noun.spa
millas,noun.spa
nina,noun.spa
niño,noun.spa
puerto,noun.spa
resolucion,noun.spa
resolución,noun.spa
sol,noun.spa
unidad,noun.spa
ellas,person.label.spa
hija,person.label.spa
hijo,person.label.spa
medica,person.label.spa
medico,person.label.spa
médico,person.label.spa
padre,person.label.spa
san,person.label.spa
a al,phrase
a la,phrase
a mi,phrase
a su,phrase
adios,phrase
adiós,phrase
al fin,phrase
algún día,phrase
aqui esta,phrase
arriba,phrase
bienvenido,phrase
bravo,phrase
buen dia,phrase
buen día,phrase
buenas noches,phrase
buenas tardes,phrase
buenos días,phrase
casi,phrase
como,phrase
con quien,phrase
con su,phrase
con tu,phrase
de la,phrase
de lo,phrase
de luz,phrase
del norte,phrase
dios mio,phrase
dios mío,phrase
en la,phrase
gracias,phrase
gracias a dios,phrase
hola,phrase
hora,phrase
la opinion,phrase
los dos,phrase
no se,phrase
si,phrase
vamos,phrase.spa
ya lo,phrase.spa
centro,place.civil
cuadra,place.civil
farmacia,place.civil
la comunidad,place.civil
la frontera,place.civil
aeroporto,place.civil.spa
aeropuerto,place.civil.spa
barrio,place.civil.spa
barrios,place.civil.spa
el territorio,place.civil.spa
las zonas,place.civil.spa
cine,place.general.spa
departmento,place.general.spa
estado,place.general.spa
la ciudad,place.general.spa
la isla,place.general.spa
la provincia,place.general.spa
la zona,place.general.spa
lugar,place.general.spa
mundo,place.general.spa
municipio,place.general.spa
nacional,place.general.spa
provincia,place.general.spa
rincon,place.general.spa
rio,place.general.spa
territorio,place.general.spa
# de,preposition.spa
antes,preposition.spa
baja,preposition.spa
contra,preposition.spa
des,preposition.spa
du,preposition.spa
el,preposition.spa
en,preposition.spa
las,preposition.spa
los,preposition.spa
aca,pronoun
ača,pronoun
huracán,spa
independiente,spa
internacional,spa
isla,spa
jamas,spa
jefe,spa
joven,spa
juega,spa
junta,spa
junto,spa
justicia,spa
justo,spa
madre,spa
madre mia,spa
maduro,spa
mais,spa
mama,spa
manāna,spa
mano,spa
martes,spa
mas,spa
mas nunca,spa
memória,spa
mes,spa
mesa,spa
mi sueño,spa
militar,spa
ministerio,spa
ministro,spa
mio,spa
mis,spa
mis amores,spa
moda,spa
modela,spa
modelo,spa
morena,spa
mucha,spa
mujer,spa
mūjer,spa
mujeres,spa
museo,spa
musica,spa
nacho,spa
nadie,spa
niños,spa
no tengo,spa
no-se,spa
noche,spa
nos,spa
nota,spa
notícia,spa
nuestro,spa
nueva,spa
nuevo,spa
odio,spa
ojo,spa
onde,spa
oro,spa
otro lado,spa
pápa,spa
parque,spa
pasa,spa
pasar,spa
paso,spa
pero,spa
planeta,spa
playa,spa
pobre,spa
policía,spa
por fin,spa
premió,spa
primavera,spa
projeto,spa
proyecto,spa
público,spa
puebla,spa
pueblo,spa
puede ser,spa
puedes,spa
punto,spa
puta,spa
que grande,spa
que veo,spa
quêremos,spa
quiero,spa
quimica,spa
rapido,spa
rápido,spa
realidad,spa
recuerda,spa
reforma,spa
revista,spa
rojo,spa
s an,spa
sabe,spa
sabes,spa
salud,spa
seguridad,spa
seguro,spa
semana santa,spa
senor,spa
ser,spa
seria,spa
serio,spa
sério,spa
sexo,spa
si te gusta,spa
sistema,spa
somos,spa
soy,spa
su,spa
su casa,spa
t’as,spa
tal,spa
tanta,spa
te espero,spa
tema,spa
tengo,spa
tio,spa
tito,spa
toda,spa
todo el día,spa
todo mundo,spa
todos los días,spa
tomar,spa
trabajo,spa
tranquilo,spa
tu,spa
tu te,spa
tus,spa
ultima,spa
unica,spa
universidad,spa
uso,spa
vacaciones,spa
vámos,spa
vaya,spa
veo,spa
ver,spa
verdad,spa
verde,spa
vino,spa
visita,spa
vista,spa
vive,spa
voces,spa
vota,spa
voz,spa
y lo,spa
y tu,spa
ya ló,spa
cada,stopword.spa
donde,stopword.spa
hasta,stopword.spa
todo,stopword.spa
yo,stopword.spa
fecha,time.spa
anda,verb
besar,verb
busca,verb
buscan,verb
buscar,verb
buscas,verb
busco,verb
camino,verb
comer,verb
corre,verb
crea,verb
dar,verb
debe,verb
digo,verb
eres,verb
es,verb
escucha,verb
fue,verb
gana,verb
haber,verb
habla,verb
habra,verb
le dan,verb
le voy,verb
leer,verb
mucho,verb
poner,verb
puesto,verb
reposo,verb
se,verb
seguir,verb
tiene,verb
toma,verb
usar,verb
